,tile,"(192, 183, 143)","(170, 163, 128)","(144, 137, 103)","(133, 167, 38)","(96, 83, 49)","(237, 234, 210)","(220, 88, 37)","(213, 200, 158)","(156, 130, 125)","(128, 126, 121)","(112, 106, 83)","(61, 98, 25)","(54, 56, 40)","(23, 26, 13)","(13, 0, 149)"
50,i0_143.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
51,i0_144.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
52,i0_145.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
53,i0_146.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
54,i0_147.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
55,i0_148.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
56,i0_149.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
57,i0_15.png,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0.3333333333333333,0
58,i0_150.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
59,i0_151.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
60,i0_152.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
61,i0_153.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
62,i0_154.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
63,i0_155.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
64,i0_156.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
65,i0_157.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
66,i0_158.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
67,i0_159.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
68,i0_16.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
69,i0_160.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
70,i0_161.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
71,i0_162.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
72,i0_163.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
73,i0_164.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
74,i0_165.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
75,i0_166.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
76,i0_167.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
77,i0_168.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
78,i0_169.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
79,i0_17.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
80,i0_170.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
81,i0_171.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
82,i0_172.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
83,i0_173.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
84,i0_174.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
85,i0_175.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
86,i0_176.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
87,i0_177.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
88,i0_178.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
89,i0_179.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
90,i0_18.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
91,i0_180.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
92,i0_181.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
93,i0_182.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
94,i0_183.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
95,i0_184.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
96,i0_185.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
97,i0_186.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
98,i0_187.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
99,i0_188.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
100,i0_189.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
101,i0_19.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
102,i0_190.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
103,i0_191.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
104,i0_192.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
105,i0_193.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
106,i0_194.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
107,i0_195.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
108,i0_196.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
109,i0_197.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
110,i0_198.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
111,i0_199.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
112,i0_2.png,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0.3333333333333333,0
113,i0_20.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
114,i0_200.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
115,i0_201.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
116,i0_202.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
